S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close,Date and Time
                                        87,KDBY,                                        9.21,                                        -0.13,                                        -1.39,                                        9.18,                                        9.36,                                        9.18,"                                        6,100.00",                                        9.34,2023-07-20 15:00:00
                                        88,KDL,                                        944.00,                                        -4.00,                                        -0.42,                                        957.00,                                        975.00,                                        938.40,"                                        4,284.00",                                        948.00,2023-07-20 15:00:00
                                        89,KEF,                                        9.13,                                        -1.02,                                        -10.05,                                        9.95,                                        9.95,                                        9.13,"                                        34,264.00",                                        10.15,2023-07-20 15:00:00
                                        90,KKHC,                                        200.00,                                        -3.00,                                        -1.48,                                        203.00,                                        205.00,                                        199.00,"                                        10,098.00",                                        203.00,2023-07-20 15:00:00
                                        91,KLBSL,                                        720.00,                                        13.00,                                        1.84,                                        721.00,                                        721.00,                                        668.40,"                                        3,009.00",                                        707.00,2023-07-20 15:00:00
                                        92,KLBSLP,                                        384.00,                                        -7.00,                                        -1.79,                                        384.00,                                        384.00,                                        384.00,"                                        1,900.00",                                        391.00,2023-07-20 15:00:00
                                        93,KMCDB,                                        735.00,                                        -15.00,                                        -2.00,                                        740.00,                                        748.00,                                        722.00,"                                        1,876.00",                                        750.00,2023-07-20 15:00:00
                                        94,KPCL,                                        378.00,                                        14.00,                                        3.85,                                        370.00,                                        378.00,                                        364.00,"                                        5,284.00",                                        364.00,2023-07-20 15:00:00
                                        95,KRBL,                                        297.90,                                        1.40,                                        0.47,                                        299.40,                                        299.70,                                        288.30,"                                        19,091.00",                                        296.50,2023-07-20 15:00:00
                                        96,KSBBL,                                        359.30,                                        10.30,                                        2.95,                                        355.00,                                        361.90,                                        350.00,"                                        150,982.00",                                        349.00,2023-07-20 15:00:00
                                        97,LBBL,                                        426.50,                                        -3.50,                                        -0.81,                                        433.00,                                        433.00,                                        425.00,"                                        47,255.00",                                        430.00,2023-07-20 15:00:00
                                        98,LEC,                                        261.90,                                        23.80,                                        10.00,                                        242.80,                                        261.90,                                        235.10,"                                        12,040.00",                                        238.10,2023-07-20 15:00:00
